data_referencia;valor_brl;variacao_diaria_pct;valor_usd;local;data_extracao
2026-03-19;100.51;2.39;1.95;São Paulo;2026-03-23 10:05:06
2026-03-18;98.16;1.08;-0.44;São Paulo;2026-03-23 10:05:06
2026-03-17;97.11;-0.52;-1.5;São Paulo;2026-03-23 10:05:06
2026-03-16;97.62;0.39;-0.98;São Paulo;2026-03-23 10:05:06
2026-03-13;97.24;1.51;-1.37;São Paulo;2026-03-23 10:05:06
2026-03-12;95.79;-1.53;-2.84;São Paulo;2026-03-23 10:05:06
2026-03-11;97.28;-1.26;-1.33;São Paulo;2026-03-23 10:05:06
2026-03-10;98.52;0.21;-0.07;São Paulo;2026-03-23 10:05:06
2026-03-09;98.31;0.96;-0.28;São Paulo;2026-03-23 10:05:06
2026-03-06;97.38;-0.25;-1.23;São Paulo;2026-03-23 10:05:06
2026-03-05;97.62;-0.62;-0.98;São Paulo;2026-03-23 10:05:06
2026-03-04;98.23;0.0;-0.37;São Paulo;2026-03-23 10:05:06
2026-03-03;98.23;-0.32;-0.37;São Paulo;2026-03-23 10:05:06
2026-03-02;98.55;-0.04;-0.04;São Paulo;2026-03-23 10:05:06
2026-02-27;98.59;0.46;-6.01;São Paulo;2026-03-23 10:05:06
