data_referencia;valor_brl;variacao_diaria_pct;valor_usd;local;data_extracao
2026-03-20;3266.08;0.05;1.3;Mato Grosso Do Sul;2026-03-23 10:05:52
2026-03-19;3264.36;0.18;1.25;Mato Grosso Do Sul;2026-03-23 10:05:52
2026-03-18;3258.37;0.15;1.06;Mato Grosso Do Sul;2026-03-23 10:05:52
2026-03-17;3253.44;-0.08;0.91;Mato Grosso Do Sul;2026-03-23 10:05:52
2026-03-16;3256.1;-0.04;0.99;Mato Grosso Do Sul;2026-03-23 10:05:52
2026-03-13;3257.48;0.13;1.03;Mato Grosso Do Sul;2026-03-23 10:05:52
2026-03-12;3253.4;0.05;0.91;Mato Grosso Do Sul;2026-03-23 10:05:52
2026-03-11;3251.73;-0.04;0.85;Mato Grosso Do Sul;2026-03-23 10:05:52
2026-03-10;3252.9;-0.34;0.89;Mato Grosso Do Sul;2026-03-23 10:05:52
2026-03-09;3263.92;-0.11;1.23;Mato Grosso Do Sul;2026-03-23 10:05:52
2026-03-06;3267.63;0.04;1.35;Mato Grosso Do Sul;2026-03-23 10:05:52
2026-03-05;3266.23;0.28;1.3;Mato Grosso Do Sul;2026-03-23 10:05:52
2026-03-04;3257.05;0.31;1.02;Mato Grosso Do Sul;2026-03-23 10:05:52
2026-03-03;3246.87;0.66;0.7;Mato Grosso Do Sul;2026-03-23 10:05:52
2026-03-02;3225.73;0.05;0.05;Mato Grosso Do Sul;2026-03-23 10:05:52
