data_referencia;valor_brl;variacao_diaria_pct;valor_usd;local;data_extracao
2026-03-20;354.85;0.27;-0.62;Média A Prazo Estado De São Paulo;2026-03-23 10:06:07
2026-03-19;353.88;0.22;-0.89;Média A Prazo Estado De São Paulo;2026-03-23 10:06:07
2026-03-18;353.1;0.34;-1.11;Média A Prazo Estado De São Paulo;2026-03-23 10:06:07
2026-03-17;351.91;0.35;-1.44;Média A Prazo Estado De São Paulo;2026-03-23 10:06:07
2026-03-16;350.69;-0.05;-1.78;Média A Prazo Estado De São Paulo;2026-03-23 10:06:07
2026-03-13;350.85;-0.26;-1.74;Média A Prazo Estado De São Paulo;2026-03-23 10:06:07
2026-03-12;351.76;0.08;-1.48;Média A Prazo Estado De São Paulo;2026-03-23 10:06:07
2026-03-11;351.49;0.13;-1.56;Média A Prazo Estado De São Paulo;2026-03-23 10:06:07
2026-03-10;351.03;-0.16;-1.69;Média A Prazo Estado De São Paulo;2026-03-23 10:06:07
2026-03-09;351.61;0.38;-1.53;Média A Prazo Estado De São Paulo;2026-03-23 10:06:07
2026-03-06;350.27;-0.36;-1.9;Média A Prazo Estado De São Paulo;2026-03-23 10:06:07
2026-03-05;351.53;-0.39;-1.55;Média A Prazo Estado De São Paulo;2026-03-23 10:06:07
2026-03-04;352.91;-0.53;-1.16;Média A Prazo Estado De São Paulo;2026-03-23 10:06:07
2026-03-03;354.78;-0.74;-0.64;Média A Prazo Estado De São Paulo;2026-03-23 10:06:07
2026-03-02;357.41;0.1;0.1;Média A Prazo Estado De São Paulo;2026-03-23 10:06:07
