data_referencia;valor_brl;variacao_diaria_pct;valor_usd;local;data_extracao
2026-03-20;1014.04;0.88;-1.81;Indicador Do Café Robusta Cepea/Esalq;2026-03-23 10:06:21
2026-03-19;1005.22;0.94;-2.67;Indicador Do Café Robusta Cepea/Esalq;2026-03-23 10:06:21
2026-03-18;995.85;0.63;-3.57;Indicador Do Café Robusta Cepea/Esalq;2026-03-23 10:06:21
2026-03-17;989.6;-0.45;-4.18;Indicador Do Café Robusta Cepea/Esalq;2026-03-23 10:06:21
2026-03-16;994.04;-0.6;-3.75;Indicador Do Café Robusta Cepea/Esalq;2026-03-23 10:06:21
2026-03-13;1000.05;-1.12;-3.17;Indicador Do Café Robusta Cepea/Esalq;2026-03-23 10:06:21
2026-03-12;1011.41;1.25;-2.07;Indicador Do Café Robusta Cepea/Esalq;2026-03-23 10:06:21
2026-03-11;998.97;-3.67;-3.27;Indicador Do Café Robusta Cepea/Esalq;2026-03-23 10:06:21
2026-03-10;1037.08;-2.81;0.42;Indicador Do Café Robusta Cepea/Esalq;2026-03-23 10:06:21
2026-03-09;1067.07;-0.34;3.32;Indicador Do Café Robusta Cepea/Esalq;2026-03-23 10:06:21
2026-03-06;1070.68;0.48;3.67;Indicador Do Café Robusta Cepea/Esalq;2026-03-23 10:06:21
2026-03-05;1065.57;-0.22;3.18;Indicador Do Café Robusta Cepea/Esalq;2026-03-23 10:06:21
2026-03-04;1067.9;-0.67;3.4;Indicador Do Café Robusta Cepea/Esalq;2026-03-23 10:06:21
2026-03-03;1075.07;1.8;4.1;Indicador Do Café Robusta Cepea/Esalq;2026-03-23 10:06:21
2026-03-02;1056.07;2.26;2.26;Indicador Do Café Robusta Cepea/Esalq;2026-03-23 10:06:21
