data_referencia;valor_brl;variacao_diaria_pct;valor_usd;local;data_extracao
2026-03-20;44.35;1.21;5.49;Laranja Pera In Natura;2026-03-23 10:06:36
2026-03-19;43.82;0.27;4.23;Laranja Pera In Natura;2026-03-23 10:06:36
2026-03-18;43.7;2.2;3.95;Laranja Pera In Natura;2026-03-23 10:06:36
2026-03-17;42.76;-1.32;1.71;Laranja Pera In Natura;2026-03-23 10:06:36
2026-03-16;43.33;-0.32;3.07;Laranja Pera In Natura;2026-03-23 10:06:36
2026-03-13;43.47;-0.91;3.4;Laranja Pera In Natura;2026-03-23 10:06:36
2026-03-12;43.87;-1.02;4.35;Laranja Pera In Natura;2026-03-23 10:06:36
2026-03-11;44.32;0.2;5.42;Laranja Pera In Natura;2026-03-23 10:06:36
2026-03-10;44.23;1.4;5.21;Laranja Pera In Natura;2026-03-23 10:06:36
2026-03-09;43.62;0.37;3.76;Laranja Pera In Natura;2026-03-23 10:06:36
2026-03-06;43.46;0.0;3.38;Laranja Pera In Natura;2026-03-23 10:06:36
2026-03-05;43.46;0.84;3.38;Laranja Pera In Natura;2026-03-23 10:06:36
2026-03-04;43.1;3.41;2.52;Laranja Pera In Natura;2026-03-23 10:06:36
2026-03-03;41.68;-0.86;-0.86;Laranja Pera In Natura;2026-03-23 10:06:36
2026-03-02;42.04;0.0;0.0;Laranja Pera In Natura;2026-03-23 10:06:36
