data_referencia;valor_brl;variacao_diaria_pct;valor_usd;local;data_extracao
2026-03-20;6.81;0.0;-6.2;Estado Sp;2026-03-23 10:07:35
2026-03-19;6.81;0.0;-6.2;Estado Sp;2026-03-23 10:07:35
2026-03-18;6.81;-2.71;-6.2;Estado Sp;2026-03-23 10:07:35
2026-03-17;7.0;-0.43;-3.58;Estado Sp;2026-03-23 10:07:35
2026-03-16;7.03;0.0;-3.17;Estado Sp;2026-03-23 10:07:35
2026-03-13;7.03;-0.28;-3.17;Estado Sp;2026-03-23 10:07:35
2026-03-12;7.05;0.0;-2.89;Estado Sp;2026-03-23 10:07:35
2026-03-11;7.05;0.0;-2.89;Estado Sp;2026-03-23 10:07:35
2026-03-10;7.05;0.0;-2.89;Estado Sp;2026-03-23 10:07:35
2026-03-09;7.05;-0.14;-2.89;Estado Sp;2026-03-23 10:07:35
2026-03-06;7.06;0.0;-2.75;Estado Sp;2026-03-23 10:07:35
2026-03-05;7.06;0.0;-2.75;Estado Sp;2026-03-23 10:07:35
2026-03-04;7.06;-0.14;-2.75;Estado Sp;2026-03-23 10:07:35
2026-03-03;7.07;-0.7;-2.62;Estado Sp;2026-03-23 10:07:35
2026-03-02;7.12;-1.93;-1.93;Estado Sp;2026-03-23 10:07:35
