data_referencia;valor_brl;variacao_diaria_pct;valor_usd;local;data_extracao
2026-03-20;71.37;-0.36;2.65;Indicador Do Milho Esalq/Bm&Fbovespa;2026-03-23 10:08:34
2026-03-19;71.63;0.6;3.02;Indicador Do Milho Esalq/Bm&Fbovespa;2026-03-23 10:08:34
2026-03-18;71.2;-1.14;2.4;Indicador Do Milho Esalq/Bm&Fbovespa;2026-03-23 10:08:34
2026-03-17;72.02;-0.11;3.58;Indicador Do Milho Esalq/Bm&Fbovespa;2026-03-23 10:08:34
2026-03-16;72.1;0.17;3.7;Indicador Do Milho Esalq/Bm&Fbovespa;2026-03-23 10:08:34
2026-03-13;71.98;0.59;3.52;Indicador Do Milho Esalq/Bm&Fbovespa;2026-03-23 10:08:34
2026-03-12;71.56;0.34;2.92;Indicador Do Milho Esalq/Bm&Fbovespa;2026-03-23 10:08:34
2026-03-11;71.32;0.32;2.57;Indicador Do Milho Esalq/Bm&Fbovespa;2026-03-23 10:08:34
2026-03-10;71.09;0.65;2.24;Indicador Do Milho Esalq/Bm&Fbovespa;2026-03-23 10:08:34
2026-03-09;70.63;0.1;1.58;Indicador Do Milho Esalq/Bm&Fbovespa;2026-03-23 10:08:34
2026-03-06;70.56;0.46;1.48;Indicador Do Milho Esalq/Bm&Fbovespa;2026-03-23 10:08:34
2026-03-05;70.24;0.01;1.02;Indicador Do Milho Esalq/Bm&Fbovespa;2026-03-23 10:08:34
2026-03-04;70.23;0.36;1.01;Indicador Do Milho Esalq/Bm&Fbovespa;2026-03-23 10:08:34
2026-03-03;69.98;0.33;0.65;Indicador Do Milho Esalq/Bm&Fbovespa;2026-03-23 10:08:34
2026-03-02;69.75;0.32;0.32;Indicador Do Milho Esalq/Bm&Fbovespa;2026-03-23 10:08:34
