data_referencia;valor_brl;variacao_diaria_pct;valor_usd;local;data_extracao
2026-03-20;10.13;0.0;0.3;Preços Da Carcaça Suína Especial (R$/Kg);2026-03-23 10:09:33
2026-03-19;10.13;0.0;0.3;Preços Da Carcaça Suína Especial (R$/Kg);2026-03-23 10:09:33
2026-03-18;10.13;-0.39;0.3;Preços Da Carcaça Suína Especial (R$/Kg);2026-03-23 10:09:33
2026-03-17;10.17;0.0;0.69;Preços Da Carcaça Suína Especial (R$/Kg);2026-03-23 10:09:33
2026-03-16;10.17;-0.39;0.69;Preços Da Carcaça Suína Especial (R$/Kg);2026-03-23 10:09:33
2026-03-13;10.21;0.89;1.09;Preços Da Carcaça Suína Especial (R$/Kg);2026-03-23 10:09:33
2026-03-12;10.12;0.0;0.2;Preços Da Carcaça Suína Especial (R$/Kg);2026-03-23 10:09:33
2026-03-11;10.12;0.0;0.2;Preços Da Carcaça Suína Especial (R$/Kg);2026-03-23 10:09:33
2026-03-10;10.12;0.4;0.2;Preços Da Carcaça Suína Especial (R$/Kg);2026-03-23 10:09:33
2026-03-09;10.08;0.8;-0.2;Preços Da Carcaça Suína Especial (R$/Kg);2026-03-23 10:09:33
2026-03-06;10.0;0.4;-0.99;Preços Da Carcaça Suína Especial (R$/Kg);2026-03-23 10:09:33
2026-03-05;9.96;-2.45;-1.39;Preços Da Carcaça Suína Especial (R$/Kg);2026-03-23 10:09:33
2026-03-04;10.21;0.2;1.09;Preços Da Carcaça Suína Especial (R$/Kg);2026-03-23 10:09:33
2026-03-03;10.19;0.0;0.89;Preços Da Carcaça Suína Especial (R$/Kg);2026-03-23 10:09:33
2026-03-02;10.19;0.89;0.89;Preços Da Carcaça Suína Especial (R$/Kg);2026-03-23 10:09:33
