data_referencia;valor_brl;variacao_diaria_pct;valor_usd;local;data_extracao
2026-03-20;1107.94;0.62;0.84;Rio Grande Do Sul;2026-03-23 10:10:04
2026-03-19;1101.12;1.03;0.22;Rio Grande Do Sul;2026-03-23 10:10:04
2026-03-18;1089.9;-0.06;-0.8;Rio Grande Do Sul;2026-03-23 10:10:04
2026-03-17;1090.6;-0.05;-0.74;Rio Grande Do Sul;2026-03-23 10:10:04
2026-03-16;1091.17;-0.17;-0.69;Rio Grande Do Sul;2026-03-23 10:10:04
2026-03-13;1093.06;0.0;-0.52;Rio Grande Do Sul;2026-03-23 10:10:04
2026-03-12;1093.06;0.0;-0.52;Rio Grande Do Sul;2026-03-23 10:10:04
2026-03-11;1093.06;0.13;-0.52;Rio Grande Do Sul;2026-03-23 10:10:04
2026-03-10;1091.6;0.0;-0.65;Rio Grande Do Sul;2026-03-23 10:10:04
2026-03-09;1091.6;0.6;-0.65;Rio Grande Do Sul;2026-03-23 10:10:04
2026-03-06;1085.06;0.05;-1.24;Rio Grande Do Sul;2026-03-23 10:10:04
2026-03-05;1084.48;-0.1;-1.3;Rio Grande Do Sul;2026-03-23 10:10:04
2026-03-04;1085.53;-0.88;-1.2;Rio Grande Do Sul;2026-03-23 10:10:04
2026-03-03;1095.2;0.0;-0.32;Rio Grande Do Sul;2026-03-23 10:10:04
2026-03-02;1095.19;-0.32;-0.32;Rio Grande Do Sul;2026-03-23 10:10:04
