cultivo;contagem;media;mediana;desvio_pad;minimo;maximo;q1;q3;amplitude_iqr;cv_pct
acucar;30;103.7;101.41;6.48;95.79;117.9;98.18;109.15;10.97;6.25
algodao;21;361.87;363.56;7.81;348.32;374.45;355.28;367.41;12.13;2.16
arroz;15;57.54;57.45;1.46;55.46;60.0;56.22;58.53;2.31;2.54
bezerro;15;3256.09;3257.05;10.43;3225.73;3267.63;3253.15;3264.14;10.99;0.32
boi;36;349.93;349.94;2.86;346.05;357.41;347.38;351.65;4.27;0.82
cafe;30;1464.34;1457.89;443.09;989.6;1962.67;1019.8;1906.29;886.49;30.26
citros;45;37.22;43.1;13.81;0.0;50.25;31.25;44.35;13.1;37.1
frango;30;7.02;7.06;0.1;6.81;7.17;7.02;7.09;0.07;1.42
milho;15;71.04;71.2;0.77;69.75;72.1;70.4;71.6;1.2;1.08
soja;30;125.65;125.26;3.77;120.66;131.18;122.29;129.34;7.05;3.0
suino;15;10.13;10.13;0.07;9.96;10.21;10.12;10.18;0.06;0.69
trigo;30;1154.16;1145.16;64.62;1084.48;1251.47;1091.96;1211.02;119.06;5.6
