dt_ref;val_brl;pct_var_dia;val_usd;local;data_extracao;cultivo;metodo;lim_inf;lim_sup
2026-03-02;3225.73;0.05;0.05;Mato Grosso Do Sul;2026-03-23 10:05:52;bezerro;IQR;3236.66;3280.63
2025-10-16;0.0;0.0;-100.0;Precoce;2026-03-23 10:06:36;citros;IQR;11.6;64.0
2025-10-15;0.0;0.0;-100.0;Precoce;2026-03-23 10:06:36;citros;IQR;11.6;64.0
2025-10-14;0.0;0.0;-100.0;Precoce;2026-03-23 10:06:36;citros;IQR;11.6;64.0
2025-10-13;0.0;-100.0;-100.0;Precoce;2026-03-23 10:06:36;citros;IQR;11.6;64.0
2026-03-20;6.81;0.0;-6.2;Estado Sp;2026-03-23 10:07:35;frango;IQR;6.9;7.2
2026-03-19;6.81;0.0;-6.2;Estado Sp;2026-03-23 10:07:35;frango;IQR;6.9;7.2
2026-03-18;6.81;-2.71;-6.2;Estado Sp;2026-03-23 10:07:35;frango;IQR;6.9;7.2
2026-03-20;6.87;0.0;-6.02;Estado Sp;2026-03-23 10:07:35;frango;IQR;6.9;7.2
2026-03-19;6.87;0.0;-6.02;Estado Sp;2026-03-23 10:07:35;frango;IQR;6.9;7.2
2026-03-18;6.87;-2.0;-6.02;Estado Sp;2026-03-23 10:07:35;frango;IQR;6.9;7.2
2026-03-06;10.0;0.4;-0.99;Preços Da Carcaça Suína Especial (R$/Kg);2026-03-23 10:09:33;suino;IQR;10.03;10.27
2026-03-05;9.96;-2.45;-1.39;Preços Da Carcaça Suína Especial (R$/Kg);2026-03-23 10:09:33;suino;IQR;10.03;10.27
